"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,"f","jazz","pakos","856395810","904","25-34","B",11
"2",2,"f","madison","purtell","495912183","903","65p","H",11
"3",3,"m","harry","siviour","219499349","614","60-64","E",11
"4",4,"f","raquel","donnolley","419432761","904","55-59","B",11
"5",5,"m","christopher","orchard","226278572","617","35-44","C",11
"6",6,"m","finn","coleman","487143563","905","35-44","B",11
"7",7,"m","zachary","wardle","393275117","906","35-44","E",11
"8",8,"f","madison","shepherd","808963757","615","45-54","E",11
"9",9,"f","emiily","stubbs","303385486","904","15-19","E",11
"10",10,"m","cameron","gazzola","816079705","605","60-64","H",11
"11",11,"f","nicola","hannagan","420606309","615","45-54","H",11
"12",12,"f","hayley","white","718473137","903","35-44","B",11
"13",13,"m","noah","green","292325489","904","35-44","H",11
"14",14,"m","jesse","bloomfield","440215228","600","20-24","D",11
"15",15,"m","callum","cochrane","253886082","603","45-54","A",11
"16",16,"m","rhys","rollins","330427146","914","35-44","A",11
"17",17,"f","courtney","kang","423072376","615","20-24","D",11
"18",18,"m","deakyn","mcconnel","353712173","602","25-34","F",11
"19",19,"m","patrick","hemmings","233779338","617","45-54","B",11
"20",20,"m","robbie","deakin","319238853","902","25-34","H",11
"21",21,"f","jessica","allabanda","243814091","611","45-54","B",11
"22",22,"f","renee","bishop","384400160","902","15-19","F",11
"23",23,"f","isabella","berry","455184485","600","55-59","B",11
"24",24,"m","mitchell","merenda","252568482","615","45-54","A",11
"25",25,"m","hugo","koutlakis","803507343","904","25-34","E",11
"26",26,"m","andrew","markotany","363312053","617","45-54","D",11
"27",27,"f","taylah","green","800523461","602","20-24","D",11
"28",28,"m","ayden","taratt","331505370","602","65p","B",11
"29",29,"f","danielle","brandstetter","416988307","905","35-44","B",11
"30",30,"f","jade","hobson","839919501","607","20-24","D",11
"31",31,"m","lachlan","paterson","291212743","611","35-44","F",11
"32",32,"m","jared","hick","874323532","614","60-64","E",11
"33",33,"m","hayden","eyles","304373928","605","20-24","F",11
"34",34,"m","daniele","geue","406450765","905","35-44","D",11
"35",35,"f","kelsea","lahey","835979236","913","25-34","B",11
"36",36,"f","emiily","jeffries","304402221","602","25-34","E",11
"37",37,"m","harrison","boyle","778874417","612","15-19","F",11
"38",38,"f","emiily","cheshire","470856663","605","20-24","D",11
"39",39,"f","brooke","brammy","201404718","617","45-54","B",11
"40",40,"m","kyle","campbell","728392498","914","25-34","A",11
"41",41,"m","jacob","heathfield","738016380","612","25-34","E",11
"42",42,"f","ellie","green","763892753","607","55-59","C",11
"43",43,"f","ashlee","middlebrook","340735818","602","35-44","H",11
"44",44,"m","joshua","rundle","774406513","607","25-34","H",11
"45",45,"m","charlie","blake","219892611","906","35-44","H",11
"46",46,"m","jasper","durovic","833783030","611","45-54","H",11
"47",47,"m","paul","lace","330556807","607","35-44","C",11
"48",48,"f","bridget","lanyon","212575088","603","25-34","G",11
"49",49,"m","brodee","anwyl","202380304","905","45-54","F",11
"50",50,"f","alisa","vorrasi","814024271","600","45-54","F",11
"51",51,"f","hannah","morrison","425116318","611","20-24","G",11
"52",52,"f","isabella","mccarthy","876563991","606","45-54","C",11
"53",53,"m","oscar","green","418570885","614","35-44","C",11
"54",54,"f","madison","leslie","469258529","614","45-54","F",11
"55",55,"m","noah","staude","401497040","904","15-19","F",11
"56",56,"m","lachlan-john","paine","310369471","904","20-24","E",11
"57",57,"f","talia","noack","898475673","602","65p","A",11
"58",58,"m","alexander","marinos","304214858","617","55-59","D",11
"59",59,"f","alice","vandersman","783889838","615","45-54","D",11
"60",60,"m","lachlan","stodart","780829336","615","45-54","F",11
"61",61,"f","samantha","shepherd","440577797","902","55-59","D",11
"62",62,"f","carla","cannell","326907570","611","55-59","E",11
"63",63,"f","emma","hilton","861182848","914","25-34","E",11
"64",64,"m","jackson","matthews","448790700","602","25-34","F",11
"65",65,"m","zane","milburn","306318130","605","35-44","H",11
"66",66,"f","georgia","reitler","443948280","902","25-34","B",11
"67",67,"f","gabrielle","froscio","361751736","617","45-54","E",11
"68",68,"f","erin","timperon","454285057","905","25-34","H",11
"69",69,"m","cooper","chandler","210204476","904","45-54","E",11
"70",70,"m","owen","redmond","221489687","902","25-34","B",11
"71",71,"f","lara","tlenys","748099039","902","20-24","D",11
"72",72,"f","brianna","spargo","268601030","905","25-34","G",11
"73",73,"m","benjamin","abat","332111027","614","15-19","C",11
"74",74,"f","alana","limbert","384281031","611","55-59","C",11
"75",75,"f","april","gunnell","274180304","602","15-19","F",11
"76",76,"m","jack","lowe","759269666","605","45-54","H",11
"77",77,"f","bailee","maynard","807736146","602","45-54","G",11
"78",78,"f","abii","ayres","419998639","612","15-19","F",11
"79",79,"m","nicholas","stanfield","246423336","611","15-19","F",11
"80",80,"m","peter","webb","294553442","913","25-34","E",11
"81",81,"f","alexandra","cure","783172820","612","25-34","D",11
