"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,NA,"amber","etherington","797273398","611",NA,NA,1
"2",2,"f","sophsie","efthimiou",NA,"914",NA,"F",1
"3",2,"f","sophie","eftimiou","21897s052","914","15-19",NA,2
"4",3,"f","jade","whitd","352035922","z614","60-64",NA,1
"5",3,"f","jade","white","352035922","N",NA,NA,2
"6",4,"m","baileu","reid","817379149",NA,"20-24",NA,1
"7",5,NA,"jessuica","nicklason","320102792","905",NA,"G",1
"8",5,"f","jessoca","nicklaston","320102792","90s","55-59","G",2
"9",6,"f","kelsy","mayer",NA,NA,NA,"C",1
"10",7,"f","ambe","garden","239311318","902",NA,NA,1
"11",8,"f","chlie","rokan","890695780","6|1","45-54","E",1
"12",9,"m","david","penelopce","764769023","606","15-19",NA,1
"13",10,"m","ky4","ha9e",NA,"611","35-44","B",1
"14",11,"f","madelinw","mcgregor",NA,"615",NA,"A",1
"15",12,"m","max","ryan","381865006","61s",NA,"D",1
"16",13,"m","samuel","reit","261638407","6079","55-59",NA,1
"17",13,NA,"samuel","reicl","261638407","698","55-59","C",2
"18",13,"m","zamuel","reld","261638407","607","55-59",NA,3
"19",14,"f","jessica","reid",NA,"9o2",NA,"A",1
"20",14,NA,"jessia","reid","434898953","903","35-44","A",2
"21",15,"f","april","lebrique","325743131","6078",NA,NA,1
"22",16,"f","kelsey","weidenn0fer","225792271","906",NA,"B",1
"23",17,"m","gui","web","772694766","606","25-34",NA,1
"24",17,"m","gv5","wehb","772694766",NA,"25-34","B",2
"25",17,NA,"gus","wenb","772694766","606",NA,"B",3
"26",17,NA,"gus","wecb","772694766","606","25-34",NA,4
"27",18,"f","jade","whrne","7688q3917","602",NA,"A",1
"28",19,"m","jacob","shepheabd","759750289","99","20-24",NA,1
"29",20,"f","tiffany","fitzpatric1<","253078121","61r",NA,"C",1
"30",20,NA,"tiffbny","fitzpatrick","253078121","614",NA,"C",2
"31",20,"f","tifany","fitzpatrick",NA,"614","55-59",NA,3
"32",21,"m","lachoan","roman","262623914","903","15-19",NA,1
"33",22,"m","kylle","howie","460410972",NA,NA,"D",1
"34",23,"m","cooper","staney","N","625","15-19","H",1
"35",24,NA,"cone","matthews","387983717",NA,"45-54","F",1
"36",25,"m","leon","george","3513547400","906",NA,NA,1
"37",26,"m","szj","dixon","328663993",NA,"25-34",NA,1
"38",26,"m","sah","dixin","328663993","615",NA,"C",2
"39",27,"m","rildt","hyland","31o078515","602",NA,"B",1
"40",28,"m","liasm","bradshaw","477243111","90s","35-44",NA,1
"41",29,"f","alyssa","campbell","80556979","6o3","35-44",NA,1
"42",30,"m","harry","shepherd","231437657","517",NA,NA,1
"43",31,NA,"jacob","white","838560660","903",NA,"H",1
"44",31,NA,"jacob","white",NA,"902",NA,"H",2
"45",32,"m","barry","hoj","745111982","617",NA,"B",1
"46",33,"f","keljey","ckilmartdin",NA,"614","55-59","E",1
"47",34,"f","regexkah","webbs","285034986","611","45-54",NA,1
"48",35,"f","amber","nguven","445816860","602",NA,NA,1
"49",35,"f","amber","nguyen","44581686o","602",NA,NA,2
"50",36,"m","nicholas","akius","39393q716","615",NA,"E",1
"51",36,"m","nidholas","agius","393944716","615",NA,NA,2
"52",36,NA,"nicholas","agi7z","393944716","6|5","25-34","E",3
"53",36,NA,"nicholas","agiust","393q44716","615","25-34","E",4
"54",37,NA,"stelio","reece","823942122","607",NA,NA,1
"55",37,NA,"sttelio","reece","823942122","607","45-54",NA,2
"56",38,"f","jacinkta","hinston","360065447","60l","25-34","C",1
"57",38,NA,"jacinta","hingston",NA,NA,"25-34","C",2
"58",38,NA,"jacinta","hingstton","360065447","60|","25-34","C",3
"59",39,"m","jamoe","lesli3","250605753","602","35-44",NA,1
"60",40,"f","kelsey","lackner","3i6474630","9|3","45-54",NA,1
"61",41,"f","sarah","sidnry","20297962","803","20-24","E",1
"62",42,"m","conn0r","dmytrenko","325233743","614",NA,NA,1
"63",42,NA,"conjwor","dmytrenko","325233743","Ny","35-44","E",2
"64",43,"m","ayten","hebberman","275196250","913",NA,NA,1
"65",43,"m","hatden","hebberman","275196250","912",NA,"B",2
"66",44,"f","nefe","gaskin","3164q7582n","603",NA,"H",1
"67",45,NA,"isabele","cambell","710666769","615","45-54","B",1
"68",46,"f","kiahra","noble",NA,"617","25-34",NA,1
