"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,"m","jack","rothe",NA,NA,NA,"F",1
"2",2,"f","georgiz","lomman","2124469797","617","45-54",NA,1
"3",2,NA,"georgia","lomman","212446979","647","45-54",NA,2
"4",2,NA,"georgia","lomman","212446979","617",NA,NA,3
"5",3,"f","elizabeth","berrly","446803676","903",NA,"F",1
"6",4,NA,"ava","gilla42d","853880737",NA,"60-64","H",1
"7",4,NA,"ava","gilard",NA,"600","60-64","H",2
"8",5,"f","tori","kumpua","273465e60","617","45-54",NA,1
"9",5,"f","tori","ckumpus","273465460","617",NA,NA,2
"10",5,NA,"tori","kumpvs","273465460","617","45-54",NA,3
"11",6,"f","georgia","whiteq","853593236","6|7","45-54",NA,1
"12",6,NA,"georgia","white","853693236","6q7","45-54","F",2
"13",7,NA,"emiimly","vassarotti","714489912","60u","25-34","A",1
"14",8,"f","emiily","pembroke",NA,NA,"35-44",NA,1
"15",8,"f","emiily","pembruke",NA,"605",NA,"H",2
"16",9,"m","zachary","mie|s","819324183","61r",NA,"A",1
"17",9,NA,"sachary","miel5","819324183","615","20-24","A",2
"18",10,"f","sonja","scarce","883233501","9o6",NA,"B",1
"19",10,"f","sonja","scarc","873233501","906",NA,NA,2
"20",10,"f","sonja","scarcve","873233501","906",NA,NA,3
"21",11,"m","noab","secara","458172972","902",NA,NA,1
"22",12,"f","soph83","brazzalotto","253699355","91",NA,"C",1
"23",13,NA,"talia","white","489746609","616",NA,"E",1
"24",14,"f","dara","coffey","499695254","902",NA,NA,1
"25",14,NA,"taa","coffey","499695254","902","45-54",NA,2
"26",15,NA,"sophie","apted","310300369",NA,"55-59","A",1
"27",16,"f","nataloa","stephenson","80345530q","606",NA,"B",1
"28",16,"f","ngtalia","ztepenson","803455304","6o6","35-44","B",2
"29",17,NA,"ca8n","reid",NA,"614","35-44","E",1
"30",17,NA,"cain","reid","800715006","61q",NA,"E",2
"31",18,"f","kaahla","le messurier","806099361","60z",NA,"C",1
"32",19,"f","madel8ne","toms",NA,"617",NA,"C",1
"33",20,NA,"thomas","webb","736384536","6o8","35-44",NA,1
