"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,"f","alissa","flores","298024798","617","25-34","A",11
"2",2,"f","tiana","papageorgiou","795261657","602","45-54","B",11
"3",3,"f","lucy","waller","885382506","905","60-64","G",11
"4",4,"m","blayke","waller","452507873","906","15-19","E",11
"5",5,"f","eleanor","glass","814889819","607","45-54","H",11
"6",6,"m","connor","statton","867155347","615","25-34","B",11
"7",7,"m","hamish","armfield","875590269","606","60-64","G",11
"8",8,"f","abbey","cheffon","863010952","614","25-34","C",11
"9",9,"f","madelyn","meaney","375295784","612","25-34","F",11
"10",10,"m","gregory","bishop","792178549","903","55-59","C",11
"11",11,"f","amaya","hiras","812803910","617","45-54","H",11
"12",12,"f","hannah","nguyen","340970762","905","45-54","B",11
"13",13,"m","liam","carbone","708409880","605","25-34","C",11
"14",14,"f","shakira","rees","430724427","905","20-24","H",11
"15",15,"f","amber","scrbak","291927891","905","25-34","B",11
"16",16,"m","callum","millar","257763164","605","65p","A",11
"17",17,"f","caitlin","green","244487598","913","35-44","B",11
"18",18,"m","mitchell","heidrich","812831458","614","25-34","C",11
"19",19,"f","caitlin","garcia","214822412","602","65p","H",11
"20",20,"f","yasmin","lombardi","417400952","913","45-54","B",11
"21",21,"m","joel","thorpe","485498393","615","15-19","D",11
"22",22,"f","madeline","ryan","264528476","606","35-44","E",11
"23",23,"m","aaron","hnarakis","882440077","602","35-44","C",11
"24",24,"f","vanessa","green","887338499","607","25-34","G",11
"25",25,"m","dylan","bjorksten","256620911","615","25-34","C",11
"26",26,"m","joshua","nguyen","461679436","602","15-19","F",11
"27",27,"m","luca","goldsworthy","846853005","617","25-34","H",11
"28",28,"m","aidan","reece","227065735","617","45-54","E",11
"29",29,"f","kaitlin","nguyen","771190657","617","25-34","E",11
"30",30,"f","tara","truman","405480432","600","45-54","A",11
"31",31,"m","noah","hamon","759249836","611","35-44","B",11
"32",32,"f","jenna","caruana","737187451","614","45-54","B",11
"33",33,"f","tayla","petersen","791278758","605","35-44","C",11
"34",34,"m","benjamin","noble","854642164","617","25-34","B",11
"35",35,"f","elizabeth","crook","245009608","606","25-34","B",11
"36",36,"f","phoebe","hoang","843934542","615","45-54","A",11
"37",37,"f","heather","reid","899024106","905","35-44","C",11
"38",38,"m","mitchell","green","825892316","611","35-44","F",11
"39",39,"m","connor","guyatt","781442360","913","25-34","B",11
"40",40,"m","brandon","bradshaw","486782143","906","35-44","H",11
"41",41,"m","archie","bezos","377334216","903","25-34","B",11
"42",42,"m","stelio","allard","302738338","602","35-44","H",11
"43",43,"m","jed","grooby","391063696","602","25-34","B",11
"44",44,"m","kye","clarke","412890441","913","35-44","D",11
"45",45,"m","jack","maynard","897675842","904","45-54","B",11
"46",46,"m","nicholas","tardrew","870832175","902","25-34","E",11
"47",47,"m","dylan","binns","713457837","605","60-64","D",11
"48",48,"f","tara","ferrazzola","466044513","617","65p","B",11
"49",49,"f","courtney","soewandijono","868342984","602","25-34","B",11
"50",50,"m","jai","jardine","740245220","611","15-19","G",11
"51",51,"f","samantha","schuster","257902835","905","20-24","E",11
"52",52,"m","james","fusco","461614826","606","25-34","D",11
"53",53,"m","jake","richmond","703307441","615","65p","E",11
"54",54,"f","ellie","byers","386922626","913","35-44","C",11
"55",55,"m","zane","nguyen","362232377","614","20-24","D",11
"56",56,"f","shai","pantich","848169306","913","35-44","D",11
"57",57,"m","oscar","ryan","852700388","604","35-44","B",11
"58",58,"m","ronan","petersen","293445019","904","45-54","F",11
"59",59,"m","harry","dolliver","289632549","600","25-34","B",11
"60",60,"m","michael","smithson","228222106","607","25-34","H",11
"61",61,"m","bradley","snoad","744249613","602","45-54","B",11
"62",62,"m","ethan","sherriff","282875502","604","20-24","E",11
"63",63,"m","william","mcgirr","754240232","611","45-54","C",11
"64",64,"f","holly","berry","216641516","602","15-19","F",11
"65",65,"m","connor","kolowca","842381706","606","25-34","A",11
"66",66,"f","pia","whatt","201060256","602","45-54","C",11
